full date,Country_Region,population,total,one_shot,one_shot_perc,two_shots,two_shots_perc,three_shots,three_shots_perc
2020-05-02,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-02,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-02,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-03,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-03,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-03,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-05,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-05,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-05,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-06,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-06,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-06,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-07,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-07,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-07,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-08,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-08,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-08,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-09,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-09,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-09,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-10,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-10,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-10,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-12,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-12,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-12,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-13,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-13,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-13,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-14,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-14,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-14,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-15,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-15,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-15,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-16,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-16,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-16,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-17,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-17,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-17,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-18,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-18,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-18,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-19,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-19,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-19,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-20,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-20,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
