full date,Country_Region,Confirmed,Recovered,Deaths,Case_Fatality_Ratio,Active,Incident_Rate,confirmed_1d,deaths_1d,confirmed_moving_avg_7d,deaths_moving_avg_7d,confirmed_moving_avg_7d_rate_14d,deaths_moving_avg_7d_rate_14d
2022-06-25,Canada,3945070.0,0.0,41815.0,0.01059930495529864,3903255.0,39.4507,2275.0,8.0,2457.0,19.428571428571427,0.002389555892295059,-0.4237288135593221
2022-06-26,Canada,3948549.0,0.0,41834.0,0.010594777980468269,3906715.0,39.48549,3479.0,19.0,2456.8571428571427,19.142857142857142,-0.11423568191182543,-0.3909090909090909
2022-06-27,Canada,3949231.0,0.0,41837.0,0.010593707990239112,3907394.0,39.49231,682.0,3.0,2554.285714285714,19.0,-0.10443275732531943,-0.38990825688073394
2022-06-28,Canada,3950104.0,0.0,41837.0,0.010591366708319578,3908267.0,39.50104,873.0,0.0,2497.1428571428573,18.571428571428573,-0.12402906539714353,-0.40092165898617504
2022-06-29,Canada,3953539.0,0.0,41849.0,0.010585199741295077,3911690.0,39.53539,3435.0,12.0,2640.714285714286,18.857142857142858,-0.048929820950812886,-0.39726027397260266
2022-06-30,Canada,3956158.0,0.0,41886.0,0.010587544784611738,3914272.0,39.56158,2619.0,37.0,2590.1428571428573,20.428571428571427,0.006494948373487297,-0.38888888888888895
2022-07-01,Canada,3962321.0,0.0,41951.0,0.010587481428183129,3920370.0,39.62321,6163.0,65.0,2789.4285714285716,20.571428571428573,0.0569448955288514,-0.3571428571428571
2022-07-02,Canada,3963750.0,0.0,41967.0,0.010587701040681173,3921783.0,39.6375,1429.0,16.0,2668.5714285714284,21.714285714285715,0.2077325919700006,-0.11627906976744184
2022-07-03,Canada,3967792.0,0.0,41981.0,0.010580443732937614,3925811.0,39.67792,4042.0,14.0,2749.0,21.0,0.280391243595715,-0.21808510638297873
2022-07-04,Canada,3968718.0,0.0,41982.0,0.01057822702444467,3926736.0,39.68718,926.0,1.0,2783.8571428571427,20.714285714285715,0.43202527924750145,-0.22872340425531912
2022-07-05,Canada,3969050.0,0.0,41982.0,0.010577342185157657,3927068.0,39.6905,332.0,0.0,2706.5714285714284,20.714285714285715,0.35125882604664427,-0.23684210526315785
2022-07-06,Canada,3975049.0,0.0,42005.0,0.010567165335571964,3933044.0,39.75049,5999.0,23.0,3072.8571428571427,22.285714285714285,0.5327062847370669,-0.17021276595744683
2022-07-07,Canada,3976084.0,0.0,42044.0,0.010574223280997082,3934040.0,39.76084,1035.0,39.0,2846.5714285714284,22.571428571428573,0.3567100156601073,-0.03658536585365846
2022-07-08,Canada,3984851.0,0.0,42114.0,0.010568525648763278,3942737.0,39.84851,8767.0,70.0,3218.5714285714284,23.285714285714285,0.35063845093219825,0.21641791044776126
2022-07-09,Canada,3988417.0,0.0,42139.0,0.01056534459661565,3946278.0,39.88417,3566.0,25.0,3523.8571428571427,24.571428571428573,0.4342112913541485,0.26470588235294135
2022-07-10,Canada,3989877.0,0.0,42149.0,0.0105639848045441,3947728.0,39.89877,1460.0,10.0,3155.0,24.0,0.28416094894755206,0.25373134328358216
2022-07-11,Canada,3990948.0,0.0,42155.0,0.010562653284382557,3948793.0,39.90948,1071.0,6.0,3175.714285714286,24.714285714285715,0.24328859060402697,0.3007518796992481
2022-07-12,Canada,3991981.0,0.0,42162.0,0.010561673514979154,3949819.0,39.91981,1033.0,7.0,3275.8571428571427,25.714285714285715,0.3118421052631577,0.3846153846153846
2022-07-13,Canada,3995318.0,0.0,42167.0,0.010554103578238327,3953151.0,39.95318,3337.0,5.0,2895.5714285714284,23.142857142857142,0.09651068433865295,0.2272727272727273
2022-07-14,Canada,4000291.0,0.0,42211.0,0.010551982343284525,3958080.0,40.00291,4973.0,44.0,3458.1428571428573,23.857142857142858,0.3351166510396557,0.16783216783216792
2022-07-15,Canada,4018390.0,0.0,42277.0,0.010520880253036664,3976113.0,40.1839,18099.0,66.0,4791.285714285715,23.285714285714285,0.7176585066065759,0.13194444444444442
2022-07-16,Canada,4024047.0,0.0,42327.0,0.010518515315551731,3981720.0,40.24047,5657.0,50.0,5090.0,26.857142857142858,0.907387580299786,0.23684210526315796
2022-07-17,Canada,4026031.0,0.0,42355.0,0.010520286604847304,3983676.0,40.26031,1984.0,28.0,5164.857142857143,29.428571428571427,0.8788130748843737,0.4013605442176871
2022-07-18,Canada,4026031.0,0.0,42363.0,0.010522273673501273,3983668.0,40.26031,0.0,8.0,5011.857142857143,29.714285714285715,0.8003284240775903,0.43448275862068964
2022-07-19,Canada,4026056.0,0.0,42363.0,0.01052220833490642,3983693.0,40.26056,25.0,0.0,4867.857142857143,28.714285714285715,0.7985326718040748,0.386206896551724
